date,SMA20_GAP,BOLLINGER,RSI,VIX25,DD10,RISK_BRAKE
2025-04-28,0,0,0,2,0,0
2025-04-28,0,0,0,4,0,0
2025-04-28,0,0,0,6,0,0
2025-04-28,0,0,0,8,0,0
