timestamp,event,ticker,price
2025-04-29T09:28:56.317870-04:00,VIX25,VOO,504.43
2025-04-29T09:28:56.317894-04:00,VIX25,QQQM,193.50
2025-04-29T09:50:16.367707-04:00,VIX25,VOO,504.43
2025-04-29T09:50:16.367729-04:00,VIX25,QQQM,193.50
2025-04-29T10:14:21.146591-04:00,VIX25,VOO,504.43
2025-04-29T10:14:21.146612-04:00,VIX25,QQQM,193.50
2025-04-29T10:35:54.437292-04:00,VIX25,VOO,504.43
2025-04-29T10:35:54.437313-04:00,VIX25,QQQM,193.50
2025-04-29T10:51:25.875062-04:00,VIX25,VOO,504.43
2025-04-29T10:51:25.875083-04:00,VIX25,QQQM,193.50
2025-04-29T11:14:16.155832-04:00,VIX25,VOO,504.43
2025-04-29T11:14:16.155863-04:00,VIX25,QQQM,193.50
2025-04-29T11:33:39.901549-04:00,VIX25,VOO,504.43
2025-04-29T11:33:39.901574-04:00,VIX25,QQQM,193.50
2025-04-29T11:49:52.929295-04:00,VIX25,VOO,504.43
2025-04-29T11:49:52.929318-04:00,VIX25,QQQM,193.50
2025-04-29T12:16:36.204660-04:00,VIX25,VOO,504.43
2025-04-29T12:16:36.204686-04:00,VIX25,QQQM,193.50
2025-04-29T12:45:03.725240-04:00,VIX25,VOO,504.43
2025-04-29T12:45:03.725264-04:00,VIX25,QQQM,193.50
2025-04-29T12:55:54.739061-04:00,VIX25,VOO,504.43
2025-04-29T12:55:54.739083-04:00,VIX25,QQQM,193.50
2025-04-29T13:13:25.227936-04:00,VIX25,VOO,504.43
2025-04-29T13:13:25.227976-04:00,VIX25,QQQM,193.50
2025-04-29T13:31:49.585806-04:00,VIX25,VOO,504.43
2025-04-29T13:31:49.585838-04:00,VIX25,QQQM,193.50
2025-04-29T13:48:26.254431-04:00,VIX25,VOO,504.43
2025-04-29T13:48:26.254455-04:00,VIX25,QQQM,193.50
2025-04-29T14:18:54.252726-04:00,VIX25,VOO,504.43
2025-04-29T14:18:54.252758-04:00,VIX25,QQQM,193.50
2025-04-29T14:45:02.469421-04:00,VIX25,VOO,504.43
2025-04-29T14:45:02.469442-04:00,VIX25,QQQM,193.50
2025-04-29T14:54:22.338709-04:00,VIX25,VOO,504.43
2025-04-29T14:54:22.338736-04:00,VIX25,QQQM,193.50
2025-04-29T15:11:15.027715-04:00,VIX25,VOO,504.43
2025-04-29T15:11:15.027739-04:00,VIX25,QQQM,193.50
2025-04-29T15:25:14.205403-04:00,VIX25,VOO,504.43
2025-04-29T15:25:14.205429-04:00,VIX25,QQQM,193.50
2025-04-29T15:35:00.910678-04:00,VIX25,VOO,504.43
2025-04-29T15:35:00.910701-04:00,VIX25,QQQM,193.50
2025-04-29T15:48:27.478419-04:00,VIX25,VOO,504.43
2025-04-29T15:48:27.478440-04:00,VIX25,QQQM,193.50
2025-04-29T16:15:06.492319-04:00,VIX25,VOO,504.43
2025-04-29T16:15:06.492341-04:00,VIX25,QQQM,193.50
